ID,location,crowding,intensity,temp,pop,humidity,mobility,total_cases,peak_cases,prop_peak,reporting_days,patchiness,pop_entropy,var_difference,range,contacts,raw_intensity
CN110100,Beijing Municipality,853727.641257905,0.0937236047333461,28.5506439393939,28351278.4128418,0.00145942228637639,,133,38,0.285714285714286,20,738946.137562189,0.357232170022766,189.259259259259,0.37037037037037,24119451958275.9,0.135214579763036
CN120100,Tianjin Municipality,605536.05763361,0.131333913660961,29.7443518518519,16518932.5754395,0.00186409706275852,,37,12,0.324324324324324,18,511143.157202527,0.167802953011146,25.0231481481481,0.75,9954560511760.01,0.189474785939208
CN130100,Baoding,89548.6656560569,0.0970794010778051,32.4663020833333,11934299.8262939,0.00194709712120574,,21,8,0.380952380952381,15,53602.97943228,0.217048983416837,6.8954008954009,2,1066773775501.62,0.14005597050742
CN130200,Cangzhou,55135.9684755947,0.119942870803528,34.4464583333333,7478518.80908203,0.00249293535387397,,26,13,0.5,22,18296.9743421857,0.361009460238784,5.83862433862434,3.14285714285714,411661316874.263,0.173040984898235
CN130300,Chengde,24832.2728248995,0.107909861583412,14.2776388888889,3689097.96417236,0.000916451797894374,,6,1,0.166666666666667,12,18815.1684787782,0.0430090437643816,0.548148148148148,6,91495455476.9143,0.155681022169403
CN130400,Handan,102887.543492788,0.0544512265528251,36.762,10286187.1181641,0.00267231693289241,,23,8,0.347826086956522,14,46371.0318545235,0.274081990062985,5.89173789173789,1.75,1055699749162.54,0.0785565145180823
CN130500,Hengshui,53216.9825302756,0.174206290017125,33.1765,4451888.25195312,0.00243171441782923,,8,2,0.25,13,18437.6055618918,0.156633771724079,2.23148148148148,6.5,236274792459.091,0.25132655069937
CN130600,Langfang,76112.073977795,0.105683358051574,30.79,4978392.234375,0.00205346392183818,,17,6,0.352941176470588,13,23708.9451949003,0.742936962719164,6.39057239057239,1.33333333333333,377673311415.93,0.152468856565499
CN130700,Qinhuangdao,55985.6678964256,0.143792812891978,22.5163541666667,2911244.6328125,0.00147664572271104,,4,1,0.25,7,30889.7314066626,0.532327645228511,1.34814814814815,4,162212737550.593,0.207449178074731
CN130800,Shijiazhuang,213937.606591882,0.0757614457245199,34.7739814814815,11235128.4812012,0.00227488235052317,,24,8,0.333333333333333,14,160691.552178606,0.143664839012685,9.78917378917379,1.8,2395060145197.86,0.109300662037343
CN130900,Tangshan,111920.135313381,0.105832478226186,30.4942803030303,7935465.03479004,0.00198033315496596,,32,8,0.25,25,70590.5882571828,0.210715875552033,9.80032206119163,3.125,885220772838.616,0.152683991501907
CN131000,Xingtai,81797.7567368709,0.103984325623624,37.90875,7242903.90063477,0.00315622580977998,,20,6,0.3,18,40878.3957163355,0.245489883036221,4.33197167755991,4.5,590780532622.003,0.150017670907385
CN131100,Zhangjiakou,52443.6448597996,0.178172819888849,17.0347619047619,4565535.55258179,0.00113406839344213,,18,6,0.333333333333333,16,44490.7501688906,0.100670678088803,5.86243386243386,2.66666666666667,239079450372.825,0.257049043674844
CN140100,Changzhi,76013.2874085104,0.810030741166949,26.2652083333333,3565086.84313965,0.00210277410081044,,3,2,0.666666666666667,12,58452.2832551131,0.16413686562036,0.639057239057239,6,269967431602.571,1.16862733324917
CN140200,Datong,135010.754780711,0.184535123214271,20.4758333333333,3849375.29882812,0.00134486847236311,,4,2,0.5,9,117354.069923701,0.185408139638586,0.71957671957672,9,517634863345.608,0.266227907131063
CN140300,Jincheng,102816.675444501,0.354090844211754,35.01125,2446397.90014648,0.00237633114072098,,6,3,0.5,30,84423.7062704668,0.0884630429634767,0.643222039773764,10,249977611856.772,0.510845104968483
CN140400,Jinzhong,60743.0991867581,0.183886005095514,32.5758333333333,3557811.07284546,0.00224162354163053,,21,6,0.285714285714286,37,45795.3131663991,0.282020364101898,2.54497354497355,7.4,215427886548.338,0.265291427640181
CN140500,LÃ¼liang,45680.5252884148,0.377601840348779,29.3355555555556,4082732.05807495,0.00227761192673527,,4,3,0.75,11,32468.8001813761,0.342408585355919,0.814814814814815,5.5,186072343693.363,0.544764302501729
CN140600,Linfen,75056.5391684699,0.72105705434887,31.1933333333333,4874306.27282715,0.00271057635516452,,2,1,0.5,12,58700.8067093184,0.133714833123734,0.348148148148148,12,364888406295.089,1.04026543650712
CN140800,Taiyuan,550721.396785806,0.270310828828696,26.8016666666667,5315730.93225098,0.00192546420512108,,5,2,0.4,16,499609.599360316,0.23849953347475,0.786243386243386,8,2901950319702.84,0.389976092249745
CN141000,Yangquan,94863.5498211002,0.22105705434887,22.2769791666667,1434240.49633789,0.00149843399922333,,4,1,0.25,12,73133.6332099201,0.526064610287877,0.548148148148148,12,134467883895.032,0.318917916062637
CN141100,Yuncheng,49004.733319857,0.27007629718317,38.7618333333333,5585953.73681641,0.00328492918439094,,10,3,0.3,38,21889.4530440492,0.656447082649096,1.06406406406406,12.6666666666667,273144612665.92,0.389637734607814
CN150200,Baotou,487731.315794846,0.135730704964676,14.3164880952381,3075956.72524452,0.00104741806312709,,22,13,0.590909090909091,13,480628.489639546,0.0326486129107687,7.32239057239057,1,1496826119695.83,0.195818014948901
CN150300,Bayannur,35841.009187449,0.0946298491801438,17.6029166666667,1633829.35799306,0.000925393827506138,,15,7,0.466666666666667,11,34204.9056223257,0.0302892705221308,3.58148148148148,1.75,58502096057.6143,0.136522014132264
CN150400,Chifeng,38666.9306065284,0.167538311461385,14.5368055555556,4203914.19826373,0.000910776592429056,,11,5,0.454545454545455,19,35639.1739795373,0.0227308450790417,1.380174291939,6.33333333333333,162444516195.692,0.24170669110425
